,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
601,Universal Sportsbiz,2012,Bangalore,Beauty and Fashion,Indian fashion industry with on-trend products,NB Ventures,530000.0,Venture - Series Unknown,2020
602,Gobbly,2016,Gurugram,Commerce,A contactless retail store filled with fruits and veggies,Sauce vc,500000.0,Seed round,2020
603,Aerostrovilos,2016,Chennai,Transport,Manufactures micro gas turbines for power-based application,Mumbai Angels Network,3000000.0,Venture - Series Unknown,2020
604,Mitron,2016,Bangalore,Media and Entertainment,Short Video and Social Platform, LetsVenture,267000.0,Seed round,2020
605,Bulk MRO,2015,Mumbai,Commerce,A full stack B2B platform for industrial supplies,Stride Ventures,3344000.0,Venture - Series Unknown,2020
606,Inspektlabs,2019,Delhi,Technology,Focuses on building computer vision products for physical asset inspections, Titan Capital,600000.0,Pre-series A,2020
607,Big Bang Boom Solutions,2018,Chennai,Technology,It developed integrated intellectual properties for defense,Mumbai Angels Network,1000000.0,Series A,2020
608,Flinto,2013,Chennai,Education,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,Lightbox Ventures,7200000.0,Pre-series B,2020
609,Zetwerk,2018,Bangalore,Commerce,B2B marketplace that connects manufacturing companies for industrial equipements,Greenoaks,21000000.0,Series C,2020
610,ChitMonks,2016,Hyderabad,Technology,Offers enterprise private platform for chit fund firms,Unicorn India Ventures,650000.0,Pre-series A,2020
611,Walrus,2019,Bangalore,Technology,It provides banking solutions for teens and young adults,Better Capital,3000000.0,Pre-seed,2020
612,Arth Designbuild,2016,Hyderebad,Real Estate,Construction technology and solutions provider, Eden Ventures,1100000.0,Venture - Series Unknown,2020
613,goDutch,2016,Mumbai,Technology,Group Payments platform, VentureSouq,1700000.0,Seed round,2020
614,Rusk Media,2019,Delhi,Media and Entertainment,It creates video content, Sprout Venture Partners,3000000.0,Seed round,2020
615,Bold Care,2019,Mumbai,Health,Digital platform that offers sexologist consultations for  men, Mohit Satyanand,3000000.0,Pre-seed Round,2020
616,Samosa Party,2017,Bangalore,Food & Beverage,Provides quality Indian Snacks,Inflection Point Ventures,3000000.0,Venture - Series Unknown,2020
617,High Street Essentials,2012,New Delhi,Technology,The parent company of women's fashion brands FabAlley and Indya, India Quotient,2743000.0,Pre-series C,2020
618,Byju's,2011,Bangalore,Education,Provides online learning classes,BOND,3000000.0,Venture - Series Unknown,2020
619,Slice,2016,Bangalore,Technology,A financial platform for youngsters,Gunosy,6082000.0,Pre-series B,2020
620,Bombay Play,2016,Bangalore,Manufacturing,It designs and creates online multiplayer games, Ramakant Sharma,1500000.0,Pre-series A,2020
621,Fullife,2011,Mumbai,Technology,It sells sports nutrition supplements through a brand called Fast&Up,Amansa Capital,6609000.0,Venture - Series Unknown,2020
622,Oziva,2016,Gurugram,Health,Clean Label Active Nutrition Brand,Matrix Partners,5000000.0,Series A,2020
623,Aye Finance,2014,Gurugram,Technology,A finance lender to SMEs, Alphabet's Independent growth fund,27700000.0,Series E,2020
624,Aether Biomedical,2016,Delhi,Technology,"Medical robotics startup, focussed on developing rehabilitation devices",Chiratae ventures,3000000.0,Seed Investment,2020
625,91springboard,2012,Delhi,Others,It offers collaborative workspace with varied amenities, Al Nour International Holdings Co.,5940000.0,Venture - Series Unknown,2020
626,Yulu,2016,Kolkata,Transport,The electric and scooter rental startup,Rocketship,3964000.0,Venture - Series Unknown,2020
627,Milkbasket,2015,Gurugram,Transport,Hyperlocal delivery service startup,Inflection Point Ventures,5500000.0,Venture - Series Unknown,2020
628,MergerDomo,2018,Noida,Commerce,Global online corporate deal sourcing and consulting marketplace, Individual Investors,197000.0,Venture - Series Unknown,2020
629,GoMechanic,2016,Delhi,Transport,Find automobile repair and maintenance service providers,Pawan Munjal,3000000.0,Series B,2020
630,Milk Mantra,2009,Odisha,Food & Beverage,Produces Dairy Products,US International Development Finance Corporation,10000000.0,Venture - Series Unknown,2020
631,MyGlamm,2015,Mumbai,Beauty and Fashion,On-demand beauty services provider, Bessemer,4327000.0,Venture - Series Unknown,2020
632,Drishti Technologies,2016,Bangalore,Technology,"AI-based video analytics, data, and insights bring benefits to manufacturers",Sozo Ventures,25000000.0,Series B,2020
633,Instasolv,2019,Noida,Education,It is a doubt-solving app for students from Class 6 to 12,Undisclosed,2000000.0,Pre-series A,2020
634,GoldenPi,2017,Bangalore,Technology,An online aggregator of bonds and debentures available in the secondary market,Rainmatter Capital,459000.0,Venture - Series Unknown,2020
635,Peppermint,2020,Mumbai,Manufacturing,Industrial robotics startup,,3000000.0,Seed round,2020
636,Sarva,2016,Mumbai,LifeStyle,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Shikhar Dhawan,3000000.0,Venture - Series Unknown,2020
637,Jai Kisan,2017,Mumbai,Technology,A platform that caters the need of customers in rural areas, Nabventures,3937000.0,Pre-series A,2020
638,Agro2o,2016,New Delhi,Agriculture,It develops products focused on making hydroponics-based farming,Mumbai Angels Network,3000000.0,Venture - Series Unknown,2020
639,LetsTransport,2015,Bangalore,Technology,Offers techno logistics solutions,Stride Ventures,1313500.0,Venture - Series Unknown,2020
640,GabbarDeals,2016,Pune,Technology,Online-to-Offline platforms for mobile phones & accessories,Venture Catalysts,3000000.0,Venture - Series Unknown,2020
641,Crimson Healthcare,2015,Delhi,Technology,It innovates cutting edge solutions for various problems in the healthcare system,Mumbai Angels Network,229800.0,Venture - Series Unknown,2020
642,Biomoneta,2016,Bangalore,Life,It develops germicidal technologies, Dr Aniruddha Malpani,3000000.0,Seed round,2020
643,Edvizo,2016,Bangalore,Education,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Inflection Point Ventures,150000.0,Seed round,2020
644,Servify,2016,Mumbai,Technology,Operates device management and support platform, Blume Ventures,11370000.0,Series C,2020
645,Drum Food,2016,Mumbai,Food & Beverage,It runs yoghurt brand Epigamia, Mousse Partners,5305000.0,Venture - Series Unknown,2020
646,Innoviti,2002,Bangalore,Technology,Digital payments solutions company, Bessemer Venture Partners,3000000.0,Series C,2020
647,Jiffy ai,2018,Bangalore,Technology,Enterprise automation startup,Nexus Venture Partners,18000000.0,Series A,2020
648,Postman,2014,Bangalore,Technology,API development platform startup,Insight Partners,150000000.0,Series C,2020
649,F5,2018,New Delhi,Commerce,It provides opportunities for its partner vendors to upsell and cross-sell their products.,Venture Catalysts,3000000.0,Venture - Series Unknown,2020
650,WayCool,2015,Chennai,Agriculture,Food development and distribution services,Induslnd Bank,5500000.0,Series C,2020
651,Myelin Foundry,2019,Chennai,Technology,"It builds AI based algorithms on video, voice and sensor",Pratithi,3000000.0,Venture - Series Unknown,2020
652,Ameliorate Biotech,2016,Bangalore,Technology,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.", DERBI,264000.0,Angel Round,2020
653,Hapramp,2018,Gurugram,Finance,Startup working on technologies like blockchain and social media,Anand Mahindra,1000000.0,Venture - Series Unknown,2020
654,MyKaam,2016,Bangalore,Technology,Online job searching and recruiting platform, Karan Garg,3000000.0,Venture - Series Unknown,2020
655,HealthPlix,2016,Bangalore,Technology,It provides clinical software for doctors, Kalaari Capital,6000000.0,Series B,2020
656,YoloBus,2019,Gurugram,Transport,Intercity bus service startup,Nexus Venture Partners,3300000.0,Series A,2020
657,iNurture Education,2016,Hyderabad,Education,"It provides a conducive and healthy teaching, learning environment",Kimera Ltd,4000000.0,Venture - Series Unknown,2020
658,Pocket52,2017,Bangalore,Manufacturing,An online poker playing platform,Gameskraft,1750000.0,Series A,2020
659,QuaQua,2016,Hyderabad,Hospitality,Virtual travel guide platform,Anthill Ventures,1000000.0,Venture - Series Unknown,2020
660,Crofarm,2016,Delhi,Agriculture,Supply chain that supports farmers and provides businesses with freshest produce,Smile group,1000000.0,Venture - Series Unknown,2020
661,Timios,2016,Bangalore,Technology,Provides healthy snacks for kids,Rangsons Technologies,3000000.0,Pre-series A,2020
662,WoodenStreet,2015,Jaipur,Technology,It enables to order custom furniture online,IAN Fund,3000000.0,Series A,2020
663,BankBazaar,2008,Chennai,Technology,Online marketplace that gives customers instant customised offers on loans and credit cards,WSV Capital,5967000.0,Series D1,2020
664,Rentmojo,2012,Bangalore,Real Estate,"Rental platform for furniture, appliances & electronics", Shri Investment,2980000.0,Venture - Series Unknown,2020
665,Credgencies,2018,Gurugram,Technology,Tech-enabled platform for resolution of non-performing assets,Titan Capital,3000000.0,Seed round,2020
666,Knorish,2016,Delhi,Technology,All-in-one knowledge commerce SaaS platform,100x VC,323000.0,Pre-series A,2020
667,LetsTransport,2015,Bangalore,Technology,Offers techno logistics solutions,Blacksoil,1326000.0,Venture - Series Unknown,2020
668,Vahak,2017,Hyderabad,Transport,It enables logistic companies to conncet with transporters, Harsh Pokhran,3000000.0,Seed round,2020
669,Nutrova,2013,Mumbai,Health,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",DSG Consumer Partners,3000000.0,Pre-series A,2020
670,Cube Wealth,2018,Mumbai,Technology,A digital wealth management services, Asuka Holding,500000.0,Mid series,2020
671,IVF Access,2019,Bangalore,Technology,It provdes IVF treatments,Vertex Ventures SEA & India,5000000.0,Series A,2020
672,Hoi Foods,2017,Delhi,Technology,Quality food solution,Crowd Fund,2000000.0,Pre-series A,2020
673,Ola Financial Services,2016,Bangalore,Technology,It operates Ola Money,Matrix Partners,27000000.0,Series A,2020
674,Awifs,2015,Delhi,Hospitality,Provides office space solutions, Link Investment Trust.,5200000.0,Venture - Series Unknown,2020
675,Dunzo,2014,Bangalore,Transport,India-based hyperlocal delivery startup,Undisclosed,55000000.0,Venture - Series Unknown,2020
676,Swiflearn,2019,Gurugram,Education,Learning platform for K-10 students looking for personalised learning, Venture Highway,3000000.0,Seed round,2020
677,Remedo,2017,Delhi,Technology,The platform connects doctors with patients,River Rock Ventures. Inflection Point Ventures,3000000.0,Pre-series A,2020
678,Blowhorn,2014,Bangalore,Transport,Tech platform that connects logistics service seekers with mini-truck drivers,Trifecta Capital,3000000.0,Venture - Series Unknown,2020
679,Toch,2016,Mumbai,Technology,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos", Inflection Point Ventures,1000000.0,Pre-series A,2020
680,Gram Cover,2016,Noida,Finance,It provides insurance products in rural areas, Omidyar Network India,3000000.0,Pre-series A,2020
681,CoinDCX,2018,Mumbai,Finance,Hybrid crypto exchange platform,Polychain Capital,2500000.0,Venture - Series Unknown,2020
682,HomeCapital,2016,Mumbai,Technology,Home Down Payment Assistance Program,Varanium NexGen Fund,3000000.0,Venture - Series Unknown,2020
683,Euler Motors,2016,Delhi,Transport,Startup focusses on electric vehicles,Inventus III India Fund,2530000.0,Series A,2020
684,Riskcovry,2018,Mumbai,Finance,Offers various insurance products, and Better Capital,3000000.0,Pre-series A,2020
685,NWNT (No Worry No Tension Healthcare),2016,Delhi,Technology,Mental healthtech startup,Amit Burman,3000000.0,Pre-series A,2020
686,Voicezen,2016,Gurugram,Technology,Conversational AI startup,Bharti Airtel,3000000.0,Venture - Series Unknown,2020
687,Leap Club,2016,Mumbai,Others,Community led professional network for women, Harpreet Singh Grover,340000.0,Pre-seed Round,2020
688,CreditMantri,2012,Chennai,Technology,Offers free credit score and a detailed credit analysis report, Accion,792000.0,Venture - Series Unknown,2020
689,Xtracap,2016,Gurugram,Technology,"Offers online payment solution,schemes, order management, insurance etc.,",Angel investors,1000000.0,Venture - Series Unknown,2020
690,Tring,2019,Mumbai,Media and Entertainment,Celebrity engagement platform, Hemesh Singh,3000000.0,Venture - Series Unknown,2020
691,Vakilsearch,2010,Chennai,Business Intelligence,"Online platform for legal, tax and compliance services",Sujeet Kumar,3000000.0,Venture - Series Unknown,2020
692,Khatabook,2016,Bangalore,Technology,It helps SMEs to maintain their accounts and ledger online.,B Capital Group,60000000.0,Series B,2020
693,LendingKart,2014,Ahmedabad,Technology,Provides working capital loans and business loans to MSMEs, IndiaQuotient,11363000.0,Series D,2020
694,Illumnus,2016,Chennai,Education,Offers Collaborative learning management system for educational institutions,Angel investors. HNI,100000.0,Seed round,2020
695,LetsTransport,2015,Bangalore,Technology,Offers techno logistics solutions,Innoven Capital,1715000.0,Venture - Series Unknown,2020
696,Eggoz,2017,Bihar,Agriculture,"Provides technology backed, deep integration services to egg farmers", Tri-Deep Capital,329000.0,Seed round,2020
697,Winuall,2018,Bangalore,Education,It helps coaching institutes in digitization, Nitin Gupta,3000000.0,Venture - Series Unknown,2020
698,Indian School Finance Company,2016,Hyderabad,Technology,NBFC that provides funding to education system,Gray Matters Capital,5271000.0,Seed round,2020
699,Juicy Chemistry,2014,Food & Beverages,Others,It focuses on organic based skincare products,Akya Ventures,650000.0,Series A,2020
